service_id,date,exception_type
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200730,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200730,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200731,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200731,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200731,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200731,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200731,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200731,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_A-Lun-Sam-20-2020T-1111110,20200731,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200731,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200731,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200731,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200731,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_06-Lun-Sam-20-2020T-0000010,20200801,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_07-Lun-Sam-20-2020T-0000010,20200801,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_08-Lun-Sam-20-2020T-0000010,20200801,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_09-Lun-Sam-20-2020T-0000010,20200801,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_10-Lun-Sam-20-2020T-0000010,20200801,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_11-Lun-Sam-20-2020T-0000010,20200801,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_A-Lun-Sam-20-2020T-1111110,20200801,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_30-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_31-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_32-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_33-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_35-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_38-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_43-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200801,1
ETE20_45-Lun-Sam-1-SUB1920-0000010,20200801,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200801,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200801,1
1_DjfE20-7-jours-81-2020T-1111111,20200802,1
2_DjfE20-7-jours-81-2020T-1111111,20200802,1
3_DjfE20-7-jours-81-2020T-1111111,20200802,1
412_DjfE-7-jours-81-2020T-1111111,20200802,1
A_DjfE20-7-jours-72-2020T-1111111,20200802,1
NM_Dim20-Dimanche-71-2020T-0000001,20200802,1
PRT_NLdj-7-jours-81-2020T-1111111,20200802,1
Taxi_dim-Dimanche-1-I_TAXI17-0000001,20200802,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200803,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200803,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200803,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200803,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200803,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200803,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200803,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200803,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200803,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200803,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200803,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200803,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200803,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200803,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200804,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200804,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200804,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200804,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200804,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200804,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200804,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200804,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200804,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200804,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200804,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200804,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200804,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200804,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200805,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200805,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200805,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200805,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200805,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200805,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200805,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200805,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200805,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200805,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200805,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200805,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200805,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200805,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200806,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200806,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200806,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200806,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200806,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200806,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200806,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200806,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200806,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200806,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200806,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200806,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200806,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200806,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200807,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200807,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200807,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200807,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200807,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200807,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_A-Lun-Sam-20-2020T-1111110,20200807,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200807,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200807,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200807,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200807,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_06-Lun-Sam-20-2020T-0000010,20200808,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_07-Lun-Sam-20-2020T-0000010,20200808,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_08-Lun-Sam-20-2020T-0000010,20200808,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_09-Lun-Sam-20-2020T-0000010,20200808,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_10-Lun-Sam-20-2020T-0000010,20200808,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_11-Lun-Sam-20-2020T-0000010,20200808,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_A-Lun-Sam-20-2020T-1111110,20200808,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_30-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_31-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_32-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_33-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_35-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_38-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_43-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200808,1
ETE20_45-Lun-Sam-1-SUB1920-0000010,20200808,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200808,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200808,1
1_DjfE20-7-jours-81-2020T-1111111,20200809,1
2_DjfE20-7-jours-81-2020T-1111111,20200809,1
3_DjfE20-7-jours-81-2020T-1111111,20200809,1
412_DjfE-7-jours-81-2020T-1111111,20200809,1
